TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR
182815,LE157,6,11,52,386,155,10500,P
182815,LE157,6,11,51,435,153,10500,P
182825,LE157,6,11,51,448,209,10500,P
182835,LE157,5,12,49,448,209,10500,P
182845,LE157,6,11,49,423,208,10500,P
182854,LE157,6,14,47,423,208,10500,P
182855,LE157,6,13,48,423,208,10500,P
182915,LE157,6,16,45,447,176,10500,P
182925,LE157,6,16,44,407,161,10500,P
182931,AA433,33,18,44,1092,116,0,P
182945,LE157,6,16,42,398,168,10500,P
183006,LG461,61,21,40,350,141,0,P
183428,LG461,61,39,12,457,136,22500,P
183440,LG461,61,41,11,459,135,22500,P
183451,LG461,61,42,10,459,134,22500,P
183603,LG461,61,48,4,469,136,22500,P
183626,LG461,61,50,1,467,136,22500,P
183638,LG461,61,51,0,467,136,22500,P
183726,LG461,61,55,-4,469,141,22500,P
183737,LG461,61,56,-5,471,142,22500,P
183749,LG461,61,56,-8,471,161,22500,P
183802,LG461,61,57,-9,471,161,22500,P
185334,AA421,21,+17.863,+157.79,0.0,0.0,0.0,M
185407,AJ421,21,+18.641,+150.81,453.63,181.75,26437.,M
185442,AJ421,21,+18.066,+146.52,447.81,184.50,26437.,M
185615,AJ421,21,+18.820,+134.79,451.88,174.63,26437.,M
185650,AJ421,21,+19.848,+130.32,455.44,171.09,26437.,M
185847,AJ421,21,+24.254,+115.12,479.13,165.53,26437.,M
185957,AJ421,21,+27.238,+107.28,479.13,165.53,26437.,M
190032,AJ421,21,+28.398,+102.77,479.13,165.53,26437.,M
