TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT
181150,AJ417,17,+44.402,-76.605,396.50,310.31,24937.
181334,AJ417,17,+35.738,-68.758,400.50,312.50,24937.
181409,AJ417,17,+32.750,-66.176,403.19,312.16,27937.
181456,AJ417,17,+28.336,-62.805,415.56,308.13,27937.
182006,AJ417,17,+2.0664,-39.629,396.13,311.03,33375.
182110,AJ417,17,-2.8555,-35.285,403.44,311.47,33375.
182232,AJ417,17,-10.188,-29.223,416.75,309.84,36000.
182405,AJ417,17,-18.641,-26.074,425.56,271.88,36000.
182540,AJ417,17,-26.063,-13.727,433.56,318.94,36000.
182847,AJ417,17,-41.895,+0.69531,410.50,312.56,36000.
183142,AJ417,17,-56.691,+14.117,410.75,311.88,35812.
183316,AJ417,17,-64.813,+21.176,418.69,310.91,35812.
183414,AJ417,17,-69.801,+25.855,423.00,312.28,35812.
183622,AJ417,17,-81.070,+35.121,409.63,309.41,35812.
183732,AJ417,17,-87.262,+39.652,401.44,307.16,35812.
183842,AJ417,17,-93.355,+44.465,400.81,307.88,35812.
184004,AJ417,17,-100.37,+50.102,400.19,308.56,35812.
184114,AJ417,17,-106.51,+54.766,400.81,307.88,35812.
184224,AJ417,17,-112.73,+59.758,407.88,308.34,35812.
184311,AJ417,17,-117.15,+62.871,411.94,306.66,35812.
184346,AJ417,17,-120.28,+65.406,413.44,307.75,36375.
184421,AJ417,17,-123.22,+67.945,409.63,309.41,36375.
184456,AJ417,17,-126.35,+70.336,410.06,308.72,36375.
184618,AJ417,17,-133.61,+76.137,407.88,308.34,36375.
184728,AJ417,17,-139.74,+81.121,404.63,309.34,36375.
184838,AJ417,17,-145.62,+86.098,394.25,309.94,37687.
184913,AJ417,17,-147.80,+89.281,391.19,319.00,37687.
184948,AJ417,17,-149.27,+93.582,396.00,343.50,37687.
185110,AJ417,17,-154.44,+101.59,388.63,5.6875,37687.
185219,AJ417,17,-159.03,+107.84,399.13,328.69,11437.
185231,AJ417,17,-159.80,+108.91,399.81,327.56,11437.
185330,AJ417,17,-162.94,+115.45,400.88,333.44,11437.
185353,AJ417,17,-163.73,+118.09,391.38,340.59,11437.
185526,AJ417,17,-168.73,+127.39,397.75,333.19,11437.
185601,AJ417,17,-170.48,+130.85,397.75,333.19,11437.
