TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT
185734,LG477,12,+.67188,+206.16,531.94,134.44,0.0000
185844,LG477,12,+8.9840,+199.48,561.44,118.00,0.0000
185854,LG477,12,+8.3280,+197.36,561.44,118.00,0.0000
190014,LG477,12,+17.531,+190.22,574.38,142.69,0.0000
190245,LG477,12,+23.578,+170.77,504.19,175.59,0.0000
190256,LG477,12,+23.891,+169.63,504.19,175.59,0.0000
195119,AJ061,61,+27.742,+76.625,451.56,191.22,37974.
191542,AJ061,61,+27.285,+73.910,443.31,190.50,37874.
191901,AG262,61,+27.652,+49.906,448.44,174.59,37874.
