TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT
180741,AJ407,7,-76.688,-39.715,0.0000,0.0000,0.0000
180800,AJ407,7,-74.578,-37.598,492.19,44.406,0.0000
180835,AJ407,7,-73.469,-33.941,472.63,22.719,0.0000
180858,AJ407,7,-73.805,-31.465,463.50,9.5940,0.0000
180921,AJ407,7,-74.309,-28.980,443.25,2.2500,0.0000
181031,AJ407,7,-75.277,-21.449,412.25,356.09,19687.
181130,AJ407,7,-75.395,-15.090,401.00,358.00,22125.
181141,AJ407,7,-75.430,-13.805,401.00,358.00,22125.
181315,AJ407,7,-75.934,-3.0430,411.50,358.03,24000.
181350,AJ407,7,-76.027,+1.2617,421.94,358.56,24000.
181425,AJ407,7,-76.289,+5.6016,429.19,357.66,24000.
181558,AJ407,7,-77.293,+17.250,443.81,356.38,26062.
181657,AJ407,7,-77.121,+24.559,450.00,0.0000,28687.
181720,AJ407,7,-76.715,+27.645,457.44,2.6250,28687.
181743,AJ407,7,-75.809,+30.797,468.81,8.1880,28687.
181819,AJ407,7,-73.816,+35.336,476.13,16.281,28687.
181842,AJ407,7,-72.953,+38.293,476.13,16.281,28687.
181849,AJ407,7,-72.070,+39.332,470.19,18.281,28687.
181913,AJ407,7,-70.875,+41.648,458.31,20.656,28687.
182001,AJ407,7,-67.617,+49.309,458.31,20.656,28687.
182114,AJ407,7,-63.680,+58.930,433.63,19.875,28687.
182247,AJ407,7,-58.770,+71.359,490.88,21.406,28500.
182322,AJ407,7,-56.941,+76.273,504.00,20.813,28500.
182432,AJ407,7,-54.082,+86.230,519.25,17.313,28500.
182444,AJ407,7,-53.555,+87.844,519.25,17.313,28500.
182507,AJ407,7,-52.609,+91.070,522.56,17.188,28500.
182519,AJ407,7,-52.125,+92.699,522.56,17.188,28500.
182530,AJ407,7,-51.695,+94.328,521.56,16.844,29250.
183156,AJ407,7,-42.273,+145.30,459.69,15.500,29625.
183329,AJ407,7,-38.496,+156.81,455.88,26.563,29625.
183514,AJ407,7,-32.922,+169.21,461.13,23.813,29625.
183636,AJ407,7,-28.293,+179.43,480.06,23.719,29625.
183746,AJ407,7,-24.656,+187.99,478.63,23.344,29625.
183856,AJ407,7,-22.578,+196.31,456.31,15.625,29625.
183919,AJ407,7,-22.238,+199.14,453.00,12.063,29625.
184029,AJ407,7,-25.504,+207.16,450.50,339.44,29625.
184139,AJ407,7,-26.324,+215.55,449.50,347.81,29625.
