TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR
181623,LE207,33,-29,102,221,90,10875,P
181644,LE207,33,-27,102,221,90,10875,P
181704,LE207,33,-26,102,221,90,10875,P
181723,LE207,33,-25,102,221,90,10875,P
181733,LE207,33,-24,102,221,90,10875,P
181743,LE207,33,-23,102,221,90,10875,P
181753,LE207,33,-23,102,221,90,10875,P
181844,LE207,33,-20,103,221,90,10875,P
181926,LE207,33,-16,102,249,89,10875,P
181950,LE207,33,-14,103,257,86,10875,P
182001,LE207,33,-13,103,260,86,10875,P
182013,LE207,33,-13,103,257,86,10875,P
182037,LE207,33,-10,103,285,87,10875,P
182044,LG521,34,-12,103,221,090,10875,P
182044,LG521,34,-12,103,221,090,10875,P
182101,LG521,34,-8,103,281,087,10875,P
182113,LG521,34,-7,103,292,086,10875,P
182212,LG521,34,-5,103,211,087,10875,P
182224,LG521,34,-4,103,207,086,10875,P
182235,LG521,34,-4,103,207,086,10875,P
182259,LG521,34,-2,103,211,086,10875,P
182323,LG521,34,-1,103,218,086,10875,P
182347,LG521,34,0,103,221,087,10875,P
182358,LG521,34,1,103,225,088,10875,P
182422,LG521,34,2,103,228,087,10875,P
182446,LG521,34,4,101,228,132,10875,P
182458,LG521,34,5,103,227,72,10875,P
182509,LG521,34,5,103,221,69,10875,P
182533,LG521,34,6,104,211,68,10875,P
182545,LG521,34,7,104,223,70,10875,P
182632,LG521,34,10,104,217,79,10875,P
182644,LG521,34,11,104,233,83,10875,P
182731,LG521,34,14,104,236,85,10875,P
182807,LG521,34,17,105,236,085,10875,P
182831,LG521,34,17,100,237,129,10875,P
182918,LG521,34,19,98,237,140,10875,P
182930,LG521,34,18,97,238,163,10875,P
182942,LG521,34,18,97,238,163,10875,P
182953,LG521,34,22,102,236,095,10875,P
183402,LG521,34,10,98,199,284,10875,P
183414,LG521,34,13,94,200,248,10875,P
183501,LG521,34,16,96,166,300,10875,P
183513,LG521,34,16,96,166,300,10875,P
183548,LG521,34,21,98,137,91,10875,P
183624,LG521,34,22,98,136,150,10875,P
183636,LG521,34,23,98,137,109,10875,P
183648,LG521,34,25,97,136,133,10875,P
183659,LG521,34,25,97,136,133,10875,P
183735,LG521,34,26,96,129,130,10875,P
183759,LG521,34,28,95,144,129,10875,P
183810,LG521,34,28,95,144,129,10875,P
183822,LG521,34,24,94,144,192,10875,P
183834,LG521,34,24,93,144,192,10875,P
183858,LG521,34,22,98,144,348,10875,P
183909,LG521,34,22,98,144,345,10875,P
183921,LG521,34,18,94,146,279,10875,P
183933,LG521,34,18,94,146,279,10875,P
184008,LG521,34,19,94,110,279,10875,P
184044,LG521,34,26,95,110,59,10875,P
184056,LG521,34,26,95,111,32,10875,P
184108,LG521,34,26,96,111,34,10875,P
184120,LG521,34,24,97,110,333,10875,P
184131,LG521,34,23,97,110,333,10875,P
184143,LG521,34,23,97,110,333,10875,P
184207,LG521,34,21,96,110,196,10875,P
184219,LG521,34,21,96,108,119,10875,P
184306,LG521,34,20,94,109,172,10875,P
184342,LG521,34,25,96,112,075,10875,P
184353,LG521,34,24,96,75,062,10875,P
184528,LG521,34,23,94,50,155,10875,P
184540,LG521,34,23,93,50,155,10875,P
184603,LG521,34,24,93,50,155,10875,P
184615,LG521,34,24,93,50,155,10875,P
184639,LG521,34,23,93,35,191,10875,P
184714,LG521,34,21,94,35,270,10875,P
184726,LG521,34,21,93,36,209,10875,P
184814,LG521,34,23,92,33,212,10875,P
184837,LG521,34,23,92,9,135,10875,P
184849,LG521,34,24,92,20,120,10875,P
184936,LG521,34,23,92,0,0,10875,P
184948,LG521,34,22,92,0,0,10875,P
185000,LG521,34,22,92,0,0,10875,P
185111,LG521,34,23,92,0,0,10875,P
185123,LG521,34,23,92,0,0,10875,P
185147,LG521,34,23,92,0,0,10875,P
185210,LG521,34,24,92,0,0,10875,P
185234,LG521,34,24,92,0,0,10875,P
