ORA ZULU,ORA LEGALE,D,TRKNU,ENTRY,X_COORD,Y_COORD,SPEED,HEADING,ALTIT,ID,SYS_ID,CON_ADD,SL,LR,AM,BLI,SIF_123
14:43:28,16:43:28,8,AJ412,12,+139.26,+42.707,0.0000,0.0000,0.0000,40,17,05,0,0,1,0,02
14:43:52,16:43:52,3,AJ412,12,+139.26,+42.707,0.0000,0.0000,0.0000,40,17,05,0,0,1,0,
14:44:27,16:44:27,2,AJ412,12,+139.26,+42.707,0.0000,0.0000,0.0000,40,17,05,0,0,1,0,
14:45:37,16:45:37,4,AJ412,12,+139.26,+42.707,0.0000,0.0000,0.0000,40,17,05,0,0,0,0,
14:46:23,16:46:23,8,AJ412,12,+133.93,+58.965,0.0000,0.0000,0.0000,40,17,05,0,0,0,0,
14:46:41,16:46:41,3,AJ412,12,+133.93,+58.965,0.0000,0.0000,0.0000,40,17,05,0,0,1,0,
14:46:58,16:46:58,8,AJ412,12,+130.11,+67.129,455.88,342.97,0.0000,40,17,05,0,0,1,0,02
14:47:10,16:47:10,1,AJ412,12,+129.62,+68.465,453.63,342.41,0.0000,40,17,05,0,0,1,0,02
14:49:18,16:49:18,6,AJ412,12,+123.82,+82.523,430.81,338.47,0.0000,46,06,05,0,0,1,0,
4:21:36,6:21:36,2,AJ412,12,+40.430,+24.637,185.56,217.28,0.0000,46,17,00,0,0,1,0,
4:21:47,6:21:47,8,AJ412,12,+40.176,+23.941,190.06,213.69,0.0000,46,17,00,0,0,1,0,
4:21:59,6:21:59,6,AJ412,12,+39.961,+23.215,193.56,209.34,0.0000,46,17,00,0,0,1,0,
4:22:11,6:22:11,3,AJ412,12,+39.789,+22.645,193.31,207.03,0.0000,46,17,00,0,0,1,0,
4:22:23,6:22:23,0,AJ412,12,+39.797,+22.086,186.00,202.19,0.0000,46,17,00,0,0,1,0,
4:22:34,6:22:34,7,AJ412,12,+39.746,+21.699,175.63,199.88,0.0000,46,17,00,0,0,1,0,
